BARANGAY,YEAR,TOTAL_POPULATION,MALE,FEMALE,HOUSEHOLDS,GROWTH_RATE,DEPENDENCY_RATIO,in_migration,out_migration
BAYAS,2020,2864,1508,1356,665,1.17,48,38,81
BAYAS,2021,2957,1556,1401,705,3.25,46,5,45
BAYAS,2022,2985,1568,1417,734,0.95,43,1,23
BAYUYAN,2020,4760,2350,2410,1136,13.74,49,567,60
BAYUYAN,2021,4853,2398,2455,1199,1.95,47,188,38
BAYUYAN,2022,5287,2614,2673,1238,8.94,44,409,50
BOTONGON,2020,4975,2456,2519,1112,2.87,49,54,69
BOTONGON,2021,5038,2487,2551,1142,1.27,47,108,103
BOTONGON,2022,5079,2507,2572,1245,0.81,45,9,35
BULAQUEÑA,2020,3968,1997,1971,842,6.01,44,398,219
BULAQUEÑA,2021,3985,2003,1982,1010,0.43,42,162,60
BULAQUEÑA,2022,4011,2015,1996,1136,0.65,39,15,68
CALAPDAN,2020,916,477,439,216,0.55,49,55,15
CALAPDAN,2021,920,479,441,230,0.44,48,77,11
CALAPDAN,2022,969,504,465,503,5.33,46,40,13
CANO-AN,2020,2514,1209,1305,611,0.68,43,12,15
CANO-AN,2021,2523,1216,1307,784,0.36,40,4,40
CANO-AN,2022,2536,1223,1313,840,0.52,35,6,0
DAAN BANWA,2020,2134,1072,1062,496,7.13,50,209,123
DAAN BANWA,2021,2158,1084,1074,525,1.12,49,139,30
DAAN BANWA,2022,2223,1120,1103,548,3.01,46,47,11
DACULAN,2020,2200,1116,1084,506,2.42,55,144,163
DACULAN,2021,2220,1124,1096,511,0.91,52,34,71
DACULAN,2022,2221,1125,1096,568,0.05,48,6,12
GOGO,2020,3432,1791,1641,819,1.18,56,23,95
GOGO,2021,4318,2237,2081,1163,25.82,55,306,74
GOGO,2022,4497,2323,2174,1336,4.15,53,112,28
JOLOG,2020,663,330,333,170,3.27,53,35,50
JOLOG,2021,672,335,337,180,1.36,51,32,8
JOLOG,2022,683,343,340,187,1.64,47,7,5
LOGUINGOT,2020,987,509,478,239,1.65,54,5,2
LOGUINGOT,2021,998,514,484,247,1.11,51,22,26
LOGUINGOT,2022,1021,527,494,254,2.3,51,8,9
LONOY,2020,1036,492,544,266,3.81,59,18,11
LONOY,2021,1046,497,549,285,0.97,56,101,17
LONOY,2022,1066,506,560,305,1.91,52,18,6
LUMBIA,2020,2414,1232,1182,635,10.33,50,162,43
LUMBIA,2021,2451,1248,1203,655,1.53,50,83,44
LUMBIA,2022,2482,1256,1226,658,1.26,48,42,7
MALBOG,2020,904,458,446,235,1.01,49,4,4
MALBOG,2021,912,461,451,241,0.88,45,2,7
MALBOG,2022,917,466,451,245,0.55,43,0,0
MANIPULON,2020,496,242,254,106,1.22,47,3,0
MANIPULON,2021,505,248,257,116,1.81,47,22,0
MANIPULON,2022,519,255,264,117,2.77,44,5,0
PA-ON,2020,496,242,254,712,1.14,47,8,41
PA-ON,2021,3800,1943,1857,788,12.33,48,8,33
PA-ON,2022,3802,1946,1856,886,0.05,46,1,23
POBLACION ZONE  I,2020,2706,1364,1342,621,0.26,46,22,86
POBLACION ZONE  I,2021,2718,1373,1345,644,0.44,44,56,105
POBLACION ZONE  I,2022,2742,1383,1359,692,0.88,41,15,47
POBLACION ZONE II,2020,2819,1359,1460,660,1.92,44,57,123
POBLACION ZONE II,2021,2828,1365,1463,670,0.32,43,2,98
POBLACION ZONE II,2022,2835,1369,1466,989,0.25,41,0,40
POBLACION ZONE III,2020,1099,561,538,233,3,44,58,57
POBLACION ZONE III,2021,1110,567,543,290,1,42,27,68
POBLACION ZONE III,2022,1153,586,567,287,3.87,42,33,49
SAN ROQUE,2020,1308,665,643,293,1,58,11,28
SAN ROQUE,2021,1325,673,652,310,1.3,55,36,18
SAN ROQUE,2022,1364,694,670,366,2.94,52,30,12
STA. ANA,2020,811,417,394,208,6.99,48,46,5
STA. ANA,2021,818,422,396,219,0.86,47,54,4
STA. ANA,2022,902,466,436,226,10.27,49,73,0
TABU-AN,2020,1117,562,555,250,1.82,50,32,2
TABU-AN,2021,1127,569,558,267,0.9,48,46,1
TABU-AN,2022,1156,589,567,277,2.57,44,25,6
TACBUYAN,2020,2371,1222,1149,532,1.07,44,98,40
TACBUYAN,2021,2705,1391,1314,910,14.09,47,100,58
TACBUYAN,2022,2772,1420,1352,1296,2.48,44,31,29
TANZA,2020,1722,882,840,376,1,49,0,14
TANZA,2021,1732,887,845,380,0.58,47,11,19
TANZA,2022,1756,899,857,450,1.39,44,7,18
VILLA PANI-AN,2020,1406,706,700,508,0.14,41,0,6
VILLA PANI-AN,2021,1411,710,701,342,0.36,40,24,13
VILLA PANI-AN,2022,1416,713,703,474,0.35,37,5,0
